,,,,,,,,,,,,,
,Test Case ID,Test Scenario,Module,Preconditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Priority,Screenrecords,Technical Details,Comments
,TC12,Perform trades on GoTrade using Binance Coin-M with different trade types and symbols,GoTrade,User logged in Binance Coin-M exchange added and connected,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to Binance Coin-M exchange
3. Select a symbol (e.g., BTC)
4. Place a Market Edge trade
5. Repeat steps with other symbols and trade types",All trades should be executed successfully for different symbols,Trades executed successfully for all symbols,Pass,Critical,https://drive.google.com/file/d/1peHtAkeAQ7k8_aLuh7HYVpNqxWXlGYar/view?usp=sharing,Trade execution API calls returned HTTP 200 (OK) with valid order IDs and response payloads. No console or network errors observed. Response latency within acceptable range (<500 ms).,Trade functionality working as expected across multiple symbols and order types using Binance Coin-M. System behavior stable and consistent.
,TC13,Verify Binance Coin-M trades are displayed correctly in Order History,GoTrade,User logged in; Binance Coin-M trades placed successfully,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to Binance Coin-M exchange
3. Place one or more trades (any type) on different symbols
4. Navigate to Order History
5. Check if all Binance Coin-M trades are visible","All Binance Coin-M trades should be displayed in Order History with correct symbol, trade type, quantity, and status",Binance Coin-M trades are not displayed in Order History,Fail,High,https://drive.google.com/file/d/1peHtAkeAQ7k8_aLuh7HYVpNqxWXlGYar/view?usp=sharing,"Order History API returned HTTP 200 (OK) but missing recent Coin-M trades in the payload. No console errors observed, indicating the issue likely lies in backend data synchronization or API mapping logic.",Order History failed to show Binance Coin-M trades despite successful execution. Backend validation needed for trade data persistence.
,TC14,Verify that user can cancel an “In Progress” order from the Waiting Orders section,GoTrade,User logged in; at least one trade in “In Progress” state under Waiting Orders,-,"1. Navigate to GoTrade → Waiting Orders
2. Identify an order with status In Progress
3. Click Cancel on that order
4. Verify that the order status updates accordingly","The selected In Progress order should be cancelled successfully, and its status should change to “Cancelled” or be removed from the list","Popup appeared showing “Order Cancelled”, but the order status in the list remained In Progress.",Fail,High,https://drive.google.com/file/d/1NUN3DYyrXkMR56bLe8PaQYGS8WDvG0Gl/view?usp=sharing,"Cancel API returned a response with status: ""timeout"" and message ""No response received from UDP server"". No HTTP 400 or console errors observed. Indicates backend timeout or network latency in UDP order cancel service.","The cancel action triggers a popup but backend response times out, preventing UI status update. Likely UDP communication delay or missing retry logic."
,TC15,Verify quantity updates correctly when Add/Clear percentage is adjusted in Assets,GoTrade,User logged in; Assets page loaded with available balance,Asset: BTC / ETH / USDT etc.,"1. Navigate to Assets
2. Click Add/Clear button
3. Adjust percentage slider or select predefined percentages (e.g., 25%, 50%, 100%)
4. Observe the Quantity field value",Quantity should update dynamically based on selected percentage of available balance,Quantity value updates correctly as per selected percentage,Pass,Medium,https://drive.google.com/file/d/1eDgUrcatbGlOSf9PpTnaEvQ-lXLd_6Xh/view?usp=sharing,No console or network errors observed during manual execution. Dropdown responsiveness is slightly delayed on some attempts — likely a UI rendering or debounce issue.,"Functionality works correctly in manual testing. However, automation validation is partially limited — dropdown occasionally fails to open on first click, and system-generated input values in the Quantity field cannot be extracted via script for verification. Suggest improving dropdown interaction stability and exposing Quantity value as a readable DOM property for automated tests."
,TC16,Verify Order Book data is displayed correctly for selected symbol on OKX exchange,GoTrade,User logged in; OKX exchange added and connected,"Symbols: BTC, ETH, SOL, etc ","1. Navigate to GoTrade page
2. Switch to OKX exchange
3. Select any symbol (e.g., BTC)
4. Observe the Order Book section",Order Book should display real-time buy/sell data for the selected symbol from OKX,Order Book data not displayed for certain symbols; inconsistent data load observed,Fail,High,https://drive.google.com/file/d/1Q9Rsw9gly_eVw7sff6IkrpZpLZ9yzMMG/view?usp=sharing,WebSocket connection to OKX Order Book stream intermittently fails — some responses show empty payloads or delayed updates. No HTTP/API errors observed in network logs. Indicates unstable or dropped real-time data feed.,"Order Book fails to update consistently for specific symbols (e.g., ETH, SOL). Likely issue with WebSocket subscription or data parsing logic."
,TC17,Verify Order Book data is displayed correctly for selected symbols on Binance USDM exchange,GoTrade,User logged in; Binance USDM exchange added,"Symbols: BTC, ETH, SOL, LTC, XRP, etc.","1. Navigate to GoTrade page
2. Switch to Binance USDM exchange
3. Select multiple symbols
4. Observe the Order Book for each selected symbol",Order Book should display accurate and real-time buy/sell orders for all selected symbols,Order Book data not displayed for certain symbols; some symbols show blank or delayed data,Fail,High,https://drive.google.com/file/d/16CD7Me7K825rO62baDRzMdLu99_-TKPb/view?usp=sharing,"WebSocket stream for Binance USD-M intermittently fails — no data received or delayed payloads for some symbols. No HTTP or console errors found, suggesting backend data stream instability or dropped feed.","Real-time data for certain Binance USD-M symbols (e.g., SOL, XRP) not populating in Order Book. Likely caused by unstable WebSocket subscription or missing data relay from backend."
,TC18,Verify Order Book data is displayed correctly for selected symbols on Binance CoinM exchange,GoTrade,User logged in; Binance CoinM exchange added,"Symbols: BTC, ETH, SOL, LTC, XRP, etc.","1. Navigate to GoTrade page
2. Switch to Binance CoinM exchange
3. Select multiple symbols
4. Observe the Order Book for each selected symbol",Order Book should display accurate and real-time buy/sell orders for all selected symbols,"Order Book data not displayed for certain symbols; inconsistent or missing data observed  (eg; XLMUSD_PERP, ZILUSD_PERP)",Fail,High,https://drive.google.com/file/d/1L_qDUZG-qCqP_F0T7vjfzj0DF5pXTJOW/view?usp=sharing,"WebSocket connection to Binance Coin-M Order Book stream intermittently fails. Some payloads return empty or mismatched symbol data. No HTTP/API errors observed, suggesting backend stream or symbol mapping inconsistency.",Issue could be due to CoinM symbol mapping or server-side data feed issue
,TC19,Verify that all exchange accounts added in Admin are displayed under Wallets page in GoOps,GoOps,"User logged in; multiple exchanges (OKX, Binance USDM, Binance CoinM) added and connected in Admin",Exchange accounts added in Admin panel,"1. Navigate to GoOps module
2. Open the Wallets page
3. Verify the list of displayed exchange accounts",All exchange accounts configured in Admin should be visible under Wallets page,Wallets page displays all exchange accounts correctly as per Admin configuration,Pass,High,https://drive.google.com/file/d/1rfkv4IdCWg2hc-vQ6_6C5Wi87Z6Eyz76/view?usp=sharing,API call to /wallets/accounts returned HTTP 200 (OK) with valid JSON response matching Admin account data. No console or network errors observed during verification.,Functionality working as expected; cross-verified account list with Admin configuration
,TC20,Verify that the Reconciliation page in GoOps displays the correct Order History for the logged-in user,GoOps,User logged in; trades executed on connected exchanges,"Valid trade history (OKX, Binance USDM, Binance CoinM)","1. Navigate to GoOps module
2. Open the Reconciliation page
3. Observe the list of displayed order histories
4. Cross-check with user’s actual executed orders","The Reconciliation page should display only the logged-in user’s order history with correct symbol, type, quantity, and status",Reconciliation page displays other users’ order history instead of current user’s records,Fail,High,https://drive.google.com/file/d/1zLuWjiuQPyFD5B6eUw25WP1rZwVyvkDO/view?usp=sharing,The reconciliation API returned order entries belonging to multiple user IDs; responses contain records not filtered by the current user. No frontend console errors observed—issue appears to be server-side (missing/incorrect user filter or query parameter).,Logged-in user’s order history not isolated; data exposure issue observed
,TC21,Verify that Shortcut Categories in Settings respond correctly to valid and invalid key combinations,Settings,User logged in; Shortcut Categories configured,"Example:                                           Valid key: Alt + P
Invalid key: Shift + P","1. Navigate to Settings → Shortcut Categories
2. Press Alt + P and observe behavior
3. Press Shift + P and observe behavio",Only valid shortcut (Alt + P) should redirect to GoOps page; invalid shortcuts should have no action,Both valid (Alt + P) and invalid (Shift + P) shortcuts redirect to GoOps — incorrect behavior,Fail,Low,https://drive.google.com/file/d/1dA5LjOA7jqs-R2gKXByFJP6bwhHhGWVB/view?usp=sharing,No frontend or network errors observed. Shortcut event listeners not differentiating between valid and invalid key combinations; improper key validation logic in UI script.,Shortcut validation missing; frontend should filter invalid key combinations
